dx, 1e-3
Element Type 0, B,B,B,B,B,B,B,B,B,B,B,B,B
Element Type 1, B,D,D,D,D,D,D,D,D,D,D,D,B
Element Type 2, B,D,D,D,D,D,D,D,D,D,D,D,B
Element Type 3, B,D,D,D,D,D,D,D,D,D,D,D,B
Element Type 4, B,D,D,D,D,D,D,D,D,D,D,D,B
Element Type 5, B,D,D,D,D,D,D,D,D,D,D,D,B
Element Type 6, B,D,D,D,D,D,D,D,D,D,D,D,B
Element Type 7, B,D,D,D,D,D,D,D,D,D,D,D,B
Element Type 8, B,D,D,D,D,D,D,D,D,D,D,D,B
Element Type 9, B,D,D,D,D,D,D,D,D,D,D,D,B
Element Type 10, B,D,D,D,D,D,D,D,D,D,D,D,B
Element Type 11, B,D,D,D,D,D,D,D,D,D,D,D,B
Element Type 12, B,D,D,D,D,D,D,D,D,D,D,D,B
Element Type 13, B,B,B,B,B,B,B,B,B,B,B,B,B
Initial Values 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100
Initial Values 1, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 50
Initial Values 2, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 50
Initial Values 3, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 50
Initial Values 4, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 50
Initial Values 5, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 50
Initial Values 6, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 50
Initial Values 7, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 50
Initial Values 8, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 50
Initial Values 9, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 50
Initial Values 10, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 50
Initial Values 11, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 50
Initial Values 12, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 50
Initial Values 13, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
Diffusion Coeff 0, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7
Diffusion Coeff 1, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7
Diffusion Coeff 2, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7
Diffusion Coeff 3, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7
Diffusion Coeff 4, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7
Diffusion Coeff 5, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7
Diffusion Coeff 6, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7
Diffusion Coeff 7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7
Diffusion Coeff 8, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7
Diffusion Coeff 9, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7
Diffusion Coeff 10, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7
Diffusion Coeff 11, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7
Diffusion Coeff 12, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7
Diffusion Coeff 13, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7, 1.43e-7